# Kartenliste für „Neandertaler“
#
# Eine Karte pro Zeile: 1-Punkt-Wort | 3-Punkt-Begriff
# "## Kategorie" beginnt eine neue Kategorie.
# Zeilen mit # sind Kommentare.
#
# Nach dem Bearbeiten:  python3 tools/build-cards.py
# Das Skript prüft auf Dubletten und schreibt data/cards.de.json.
# Die IDs werden aus dem Text gebildet: eine Karte behält ihre ID, solange
# ihr Wortlaut gleich bleibt – so merkt sich die App, was schon gespielt wurde.

## Essen & Trinken
Fisch | Fischstäbchen
Blatt | Kleeblatt
Wald | Waldbrand
Berg | Bergsteiger
Fluss | Flussufer
See | Seerose
Meer | Meerjungfrau
Strand | Strandkorb
Insel | Schatzinsel
Urmensch | Steinzeit
Sand | Sandburg
Sonne | Sonnenbrand
Mond | Mondlandung
Stern | Sternschnuppe
Himmel | Himmelbett
Skyline | Wolkenkratzer
Regen | Regenbogen
Schnee | Schneemann
Gletscherzeit | Eiszeit
Wind | Windmühle
Sturm | Sturmflut
Blitz | Blitzableiter
Donner | Donnerwetter
Nebel | Nebelhorn
Feuer | Lagerfeuer
Erde | Erdbeben
Vulkan | Vulkanausbruch
Höhle | Tropfsteinhöhle
Wüste | Wüstensand
Rose | Rosenkrieg
Tanne | Tannenzapfen
Eiche | Eichhörnchen
Champignon | Pilzsuppe
Kaktus | Kaktusblüte
Moos | Moosgummi
Welle | Wellenreiten
Tal | Talsperre
Quelle | Quellwasser
Gletscher | Gletscherspalte
Frühling | Frühlingsgefühle
Sommer | Sommerferien
Herbst | Herbstlaub
Winter | Winterschlaf
Tau | Morgentau
Hagel | Hagelkorn
Planet | Planetensystem
Komet | Kometenschweif
Samen | Samenkorn
Wurzel | Quadratwurzel
Ast | Astloch
Zweig | Auf keinen grünen Zweig kommen
Kiesel | Kieselstein

## Zuhause & Haushalt
Haus | Hausschuh
Tür | Türklingel
Fenster | Fensterbank
Dach | Dachboden
Wand | Wandtattoo
Bett | Etagenbett
Tisch | Küchentisch
Stuhl | Schaukelstuhl
Sofa | Sofakissen
Lampe | Taschenlampe
Kerze | Kerzenständer
Aufstehen | Wecker
Spiegel | Spiegelbild
Bad | Badewanne
Dusche | Duschvorhang
Klo | Klopapier
Seife | Seifenblase
Kamm | Hahnenkamm
Bürste | Zahnbürste
Handtuch | Strandtuch
Topf | Kochtopf
Pfanne | Bratpfanne
Löffel | Suppenlöffel
Gabel | Mistgabel
Messer | Taschenmesser
Teller | Suppenteller
Tasse | Kaffeetasse
Glas | Weinglas
Flasche | Flaschenpost
Kühlschrank | Kühlschrankmagnet
Ofen | Kachelofen
Besen | Hexenbesen
Eimer | Putzeimer
Staub | Staubsauger
Müll | Mülltonne
Schlüssel | Schlüsselbund
Schloss | Vorhängeschloss
Treppe | Wendeltreppe
Keller | Kellerassel
Garten | Gartenzwerg
Zaun | Gartenzaun
Kissen | Kopfkissen
Decke | Kuscheldecke
Teppich | Fliegender Teppich
Vorhang | Theatervorhang
Regal | Bücherregal
Schrank | Kleiderschrank
Kiste | Schatzkiste
Korb | Wäschekorb
Wäsche | Waschmaschine
Bügel | Bügeleisen
Nadel | Stecknadel
Faden | Roter Faden
Schere | Papierschere
Kleber | Sekundenkleber
Hammer | Vorschlaghammer
Nagel | Nagellack
Leiter | Feuerleiter
Kamin | Kaminfeuer
Heizung | Fußbodenheizung

## Körper & Gesundheit
Kopf | Kopfschmerzen
Haar | Haarspray
Auge | Augenbraue
Ohr | Ohrwurm
Nase | Nasenbluten
Harmonika | Mundharmonika
Zahn | Zahnfee
Zunge | Zungenbrecher
Hals | Halsschmerzen
Hand | Handschuh
Finger | Fingerhut
Daumen | Daumenkino
Uhrenarmband | Armbanduhr
Bein | Beinbruch
Bundesliga | Fußball
Knie | Kniescheibe
Bauch | Bauchnabel
Rücken | Rückenwind
Herz | Herzklopfen
Blut | Blutspende
Knochen | Knochenbruch
Haut | Sonnencreme
Bart | Weihnachtsmann
Kralle | Fingernagel
Husten | Hustensaft
Schnupfen | Schnupfnase
Fieber | Fieberthermometer
Pflaster | Kopfsteinpflaster
Arzt | Zahnarzt
Pille | Pillendose
Schlaf | Schlafwandler
Traum | Traumfänger
Brille | Sonnenbrille
Muskel | Muskelkater
Schweiß | Angstschweiß
Träne | Freudentränen
Lachen | Lachkrampf
Gähnen | Gähnende Langeweile
Niesen | Niespulver
Schnarchen | Schnarchnase

## Berufe & Menschen
Koch | Sternekoch
Bäcker | Bäckerei
Tierklinik | Tierarzt
Lehrer | Lehrerzimmer
Polizei | Polizeiauto
Feuerwehr | Feuerwehrmann
Pilot | Autopilot
Bauer | Bauernhof
Fischer | Fischerboot
Maler | Malerpinsel
Friseur | Friseursalon
Clown | Klassenclown
Zauberer | Zaubertrick
König | Königskrone
Prinz | Prinzessin auf der Erbse
Ritter | Ritterrüstung
Pirat | Piratenschiff
Hexe | Hexenhaus
Riese | Riesenrad
Zwerg | Sieben Zwerge
Bande | Räuberhauptmann
Dieb | Taschendieb
Richter | Schiedsrichter
Chef | Chefkoch
Baby | Babyflasche
Oma | Omas Apfelkuchen
Opa | Opas Werkstatt
Mutter | Muttertag
Vater | Vatertag
Kind | Kindergarten
Freund | Brieffreund
Nachbar | Nachbarschaft
Gast | Gastgeber
Held | Superheld
Spion | Geheimagent
Astronaut | Raumstation
Taucher | Tiefseetaucher
Förster | Försterei
Postbote | Briefträger
Kellner | Trinkgeld
Sänger | Opernsänger
Tänzer | Balletttänzer
Schneider | Schneiderpuppe
Schmied | Hufschmied
Mönch | Mönchskutte
Nonne | Nonnenkloster
Kapitän | Kapitänsmütze
Detektiv | Sherlock Holmes

## Sport & Freizeit
Abendkleid | Ballkleid
Tor | Torwart
Langstrecke | Marathon
Rad | Fahrrad
Ski | Skilift
Schwimmen | Schwimmbad
Tennis | Tennisschläger
Golf | Golfplatz
Boxen | Boxhandschuh
Ring | Boxring
Seil | Seilspringen
Netz | Volleyball
Dunking | Basketball
Schlitten | Schlittenfahrt
Kegel | Kegelbahn
Würfel | Würfelspiel
Karte | Kartenspiel
Puzzle | Puzzleteil
Schach | Schachmatt
Spiel | Spielplatz
Rutsche | Wasserrutsche
Schaukel | Hängematte
Zelt | Zeltlager
Angel | Angelhaken
Jagd | Schnitzeljagd
Pokal | Siegerpokal
Medaille | Goldmedaille
Trikot | Trikottausch
Pfeife | Trillerpfeife
Sprung | Weitsprung
Rennen | Autorennen
Surfen | Windsurfen
Tauchen | Tauchermaske
Klettern | Kletterwand
Wandern | Wanderschuh
Reiten | Ponyhof
Yoga | Yogamatte
Kino | Kinokarte
Party | Überraschungsparty
Tanz | Tanzschule
Drachen | Drachensteigen
Fangen | Fangen spielen
Verstecken | Versteckspiel
Murmel | Murmelbahn
Lego | Legostein
Puppe | Puppenhaus
Kreisel | Brummkreisel

## Verkehr & Reisen
Auto | Autobahn
Bus | Busfahrer
Verspätung | Zugverspätung
Schiff | Kreuzfahrtschiff
Boot | Ruderboot
Falten | Papierflieger
Rakete | Raketenstart
Fahrrad | Fahrradhelm
Straße | Straßenbahn
Brücke | Hängebrücke
Ampel | Ampelmännchen
Tunnel | Tunnelblick
Tank | Tankstelle
Reifen | Reifenpanne
Maßstab | Landkarte
Koffer | Kofferraum
Pass | Reisepass
Hotel | Hotelzimmer
Urlaub | Urlaubsfoto
Hafen | Hafenrundfahrt
Stau | Staumelder
Taxi | Taxistand
Motor | Motorrad
Anker | Rettungsanker
Segel | Segelboot
Kompass | Kompassnadel
Hubschrauber | Rettungshubschrauber
Ticket | Fahrkarte
Gleis | Gleis neundreiviertel
Weg | Holzweg
Stopp | Stoppschild
Hupe | Lichthupe
Lenkrad | Lenkradschloss
Schlauch | Schlauchboot

## Orte & Gebäude
Stadt | Großstadt
Dorf | Dorffest
Schule | Schulhof
Kirche | Kirchturm
Burg | Burggraben
Turm | Eiffelturm
Markt | Supermarkt
Laden | Tante-Emma-Laden
Bank | Parkbank
Park | Freizeitpark
Zoo | Streichelzoo
Bahnhof | Hauptbahnhof
Leinwand | Autokino
Museum | Naturkundemuseum
Zirkus | Zirkuszelt
Hütte | Almhütte
Stall | Pferdestall
Mühle | Mühlrad
Brunnen | Wunschbrunnen
Platz | Marktplatz
Knast | Gefängnisausbruch
Rathaus | Rathausplatz
Kneipe | Kneipenquiz
Palast | Königspalast
Schiffbrüchiger | Einsame Insel
Berlin | Brandenburger Tor
Paris | Mona Lisa
Rom | Kolosseum
Ägypten | Pyramiden
Gesicht | Mann im Mond
Mars | Marsmännchen
Amerika | Freiheitsstatue
Italien | Schiefer Turm von Pisa
Alpen | Zugspitze
Nordpol | Polarlicht

## Technik & Dinge
Handy | Handyhülle
Mauszeiger | Computermaus
Weckradio | Radiowecker
Fernseher | Fernbedienung
Kamera | Kameramann
Foto | Fotoalbum
Batterie | Batterieladegerät
Kabel | Kabelsalat
Strom | Stromausfall
Licht | Lichtschalter
Birne | Glühbirne
Mähroboter | Rasenmäherroboter
Tretmühle | Hamsterrad
Maschine | Zeitmaschine
Drücken | Knopfdruck
Brief | Liebesbrief
Kochrezepte | Kochbuch
Zeitung | Tageszeitung
Stift | Bleistift
Papier | Papierkorb
Farbe | Wasserfarbe
Pinsel | Pinselstrich
Tasche | Handtasche
Geld | Geldbeutel
Münze | Glücksmünze
Trauung | Ehering
Kette | Halskette
Krone | Zahnkrone
Schirm | Regenschirm
Ballon | Heißluftballon
Glocke | Kirchenglocke
Trommel | Trommelwirbel
Anführer | Erste Geige
Rockstar | Luftgitarre
Tonleiter | Klavierlehrer
Flöte | Blockflöte
Mikrofon | Karaoke
Magnet | Magnetfeld
Lupe | Vergrößerungsglas
Waage | Personenwaage
Kran | Baukran
Bagger | Baggersee
Laser | Laserschwert
Drohne | Drohnenflug
Schwert | Schwertfisch
Schild | Verkehrsschild
Pfeil | Pfeil und Bogen
Keule | Neandertaler
Neuerfindung | Das Rad neu erfinden

## Kleidung
Hut | Zylinderhut
Mütze | Zipfelmütze
Schuh | Schuhkarton
Stiefel | Gummistiefel
Socke | Sockenschuss
Hose | Hosentasche
Hemd | Nachthemd
Kleid | Brautkleid
Rock | Minirock
Jacke | Lederjacke
Mantel | Regenmantel
Schal | Fanschal
Anschnallen | Sicherheitsgurt
Knopf | Knopfloch
Kragen | Kragenweite
Tragegurt | Rucksack
Beschlagen | Taucherbrille
Maske | Karnevalsmaske
Anzug | Taucheranzug
Pulli | Weihnachtspullover
Kappe | Tarnkappe
Schleife | Fliege
Helm | Bauarbeiterhelm
Handschuh | Fäustling
Schürze | Kochschürze
Pyjama | Pyjamaparty
Bikini | Bikinifigur
Umhang | Superheldenumhang

## Feste & Kultur
Geburtstag | Geburtstagsständchen
Weihnachten | Weihnachtsbaum
Ostern | Ostereier
Karneval | Rosenmontag
Hochzeit | Hochzeitsreise
Silvester | Feuerwerk
Geschenk | Geschenkpapier
Adventssonntag | Adventskranz
Nikolaus | Nikolausstiefel
Engel | Schutzengel
Teufel | Teufelskreis
Geist | Gespensterschloss
Märchen | Rotkäppchen
Drache | Drachentöter
Einhorn | Einhornkuchen
Vampir | Graf Dracula
Zombie | Zombiefilm
Film | Stummfilm
Lied | Schlaflied
Musik | Musikschule
Theater | Kasperletheater
Bild | Bilderrahmen
Telenovela | Seifenoper
Witz | Witzbold
Zauber | Zauberstab
Schatz | Schatzkarte
Schlafprinzessin | Dornröschen
Schönste | Spieglein an der Wand
Sieben | Schneewittchen
Glasschuh | Aschenputtel
Jack | Bohnenranke
Zopfturm | Rapunzel
Großmutter | Rotkäppchen und der Wolf
Knusperhaus | Hänsel und Gretel
Pharao | Pyramide
Wiesn | Oktoberfest
Fest | Volksfest
Maskerade | Maskenball
Kuss | Kussmund
Schnulze | Herzschmerz
Liebe | Liebe auf den ersten Blick

## Schule & Arbeit
Lehrbuch | Schulbuch
Heft | Hausaufgabenheft
Tafel | Schultafel
Kreide | Straßenkreide
Pause | Pausenbrot
Test | Vokabeltest
Versetzung | Zeugnis
Ferien | Ferienlager
Klasse | Klassenfahrt
Rechnen | Taschenrechner
Lesen | Leseratte
Schreiben | Schreibmaschine
Büro | Großraumbüro
Vorstand | Chefetage
Gehalt | Gehaltserhöhung
Arbeit | Hausarbeit
Plan | Stundenplan
Arbeitszeit | Stechuhr
Stempel | Poststempel
Mappe | Schultasche
Linie | Lineal
Kreis | Zirkel
Zahl | Glückszahl
Wort | Wörterbuch
Frage | Fragezeichen
Punkt | Schlusspunkt

## Redewendungen
Sack | Die Katze im Sack kaufen
Begraben | Da liegt der Hund begraben
Blind | Tomaten auf den Augen
Egal | Das ist mir Wurst
Butter | Alles in Butter
Nichts | Nicht die Bohne
Anteil | Ein Stück vom Kuchen
Senf | Seinen Senf dazugeben
Quatsch | Das ist doch Käse
Treffer | Den Nagel auf den Kopf treffen
Betrügen | Jemanden übers Ohr hauen
Stolpern | Jemandem ein Bein stellen
Schwören | Hand aufs Herz
Verdrängen | Den Kopf in den Sand stecken
Genervt | Die Nase voll haben
Ausfragen | Jemandem auf den Zahn fühlen
Glückwunsch | Daumen drücken
Zänkisch | Haare auf den Zähnen
Nachsicht | Ein Auge zudrücken
Fleisch | Weder Fisch noch Fleisch
Glücksschwein | Schwein gehabt
Wette | Aufs falsche Pferd setzen
Überrascht | Mich laust der Affe
Klappe | Zwei Fliegen mit einer Klappe
Überflüssig | Eulen nach Athen tragen
Haken | Da liegt der Hase im Pfeffer
Spatz | Den Spatz in der Hand
Porzellan | Wie ein Elefant im Porzellanladen
Abwarten | Abwarten und Tee trinken
Fließen | Bis dahin fließt noch viel Wasser
Begeistert | Feuer und Flamme
Brechen | Das Eis brechen
Verliebt | Auf Wolke sieben
Weltfremd | Hinter dem Mond leben
Erleichterung | Stein vom Herzen
Wege | Viele Wege führen nach Rom
Beschwipst | Zu tief ins Glas schauen
Sterben | Den Löffel abgeben
Partnersuche | Jeder Topf findet seinen Deckel
Vergessen | Den Faden verlieren
Abbrechen | Alle Brücken abbrechen
Verpasst | Der Zug ist abgefahren
Unverständlich | Ich verstehe nur Bahnhof
Luft | Luftschlösser bauen
Holz | Auf dem Holzweg sein
Übertreiben | Die Kirche im Dorf lassen
Aufräumen | Reinen Tisch machen
Schwarzmalen | Den Teufel an die Wand malen
Hölle | Himmel und Hölle
Leben | Das Leben ist kein Ponyhof

# ------------------------------------------------------------------
# Erweiterung: weitere Karten für die bestehenden Kategorien
# ------------------------------------------------------------------

## Essen & Trinken
Schorle | Apfelschorle
Jause | Brotzeit
Käse | Käsekuchen
Leber | Leberwurst
Blech | Kuchenblech
Latte | Milchkaffee
Beutel | Teebeutel
Filter | Kaffeemaschine
Tüte | Eiswaffel
Zuckerkegel | Zuckerhut
Suppenverweigerer | Suppenkasper
Likör | Eierlikör
Walze | Nudelholz
Körnchen | Reiskorn
Bestäuben | Honigbiene
Blechdose | Keksdose
Untersetzer | Bierdeckel
Rebe | Weintraube
Steinofen | Pizzaofen
Sahne | Schlagsahne
Laugengebäck | Butterbrezel
Mehl | Mehlschwitze
Kakao | Kakaobohne
Limo | Limonade
Gesichtsmaske | Gurkenmaske
Obst | Obstkorb
Gemüse | Gemüsebrühe
Frühstück | Frühstücksei
Mittag | Mittagessen
Abend | Abendbrot
Päuschen | Kaffeepause
Nachtisch | Rote Grütze
Waffel | Waffeleisen
Krapfen | Berliner
Knolle | Bratkartoffeln
Eintopf | Bohneneintopf
Erbse | Erbsensuppe
Linse | Linsensuppe
Kohl | Rotkohl
Paprika | Paprikachips
Mais | Maiskolben
Schwarzwald | Kirschtorte
Traube | Traubenzucker
Melone | Wassermelone
Ananas | Ananassaft
Pflaume | Pflaumenkuchen
Rosine | Rosinenbrötchen
Brötchen | Brötchentaste
Röster | Toaster
Soja | Sojasoße
Ketchup | Ketchupflasche
Mayo | Mayonnaise
Mostrich | Senfglas
Chili | Chili con Carne
Taco | Tacoschale
Hackfleisch | Spaghetti Bolognese
Lasagne | Lasagneplatte

## Tiere
Leine | Hundeleine
Reflektor | Katzenauge
Marshmallow | Mäusespeck
Zopf | Pferdeschwanz
Euter | Kuhmilch
Legehenne | Hühnerei
Hahn | Wetterhahn
Duckburg | Entenhausen
Schwan | Schwanensee
Riesenhunger | Bärenhunger
Rudel | Wolfsrudel
Rute | Fuchsschwanz
Lippenspalte | Hasenscharte
Klick | Mausklick
Stich | Bienenstich
Wespe | Wespennest
Fliege | Fliegenklatsche
Tarantel | Vogelspinne
Kriechen | Schneckentempo
Quaken | Froschkonzert
Feldwächter | Vogelscheuche
Rabe | Rabeneltern
Specht | Buntspecht
Möwe | Möwenschrei
Hai | Weißer Hai
Wal | Blauwal
Robbe | Robbenbaby
Otter | Fischotter
Biber | Biberdamm
Maulwurf | Maulwurfshügel
Eichhörnchen | Eichhörnchenschwanz
Luchs | Luchsaugen
Löwe | Löwenmähne
Tiger | Tigerstreifen
Leopard | Leopardenmuster
Nashorn | Nashornkäfer
Nilpferd | Flusspferd
Känguru | Kängurubeutel
Koala | Koalabär
Panda | Pandabär
Faultier | Faulpelz
Gorilla | Gorillagriff
Flamingo | Flamingobein
Strauß | Straußenei
Pfau | Pfauenfeder
Kranich | Kranichzug
Libelle | Libellenflügel
Heuschrecke | Heuschreckenplage
Laus | Kopflaus
Zecke | Zeckenbiss
Tintenfisch | Tintenfischringe
Seestern | Seesternchen
Seepferd | Seepferdchen
Kakerlake | Küchenschabe
Vollstopfen | Hamsterbacken
Meerschwein | Meerschweinchen
Kaninchen | Kaninchenstall
Wellensittich | Vogelkäfig
Goldfisch | Goldfischglas

## Natur & Wetter
Stamm | Baumstamm
Übertopf | Blumentopf
Grünfläche | Grasnarbe
Croissant | Blätterteig
Götterspeise | Waldmeister
Gipfel | Bergbahn
Mündung | Flussdelta
Ufer | Seeufer
Rauschen | Meeresrauschen
Cocktail | Strandbar
Stein | Steinschlag
Buddeln | Sandkasten
Abendrot | Sonnenuntergang
Vollmond | Mondschein
Konstellation | Sternbild
Osten | Himmelsrichtung
Wolke | Wolkenbruch
Wurmloch | Regenwurm
Flocke | Schneeflocke
Orkan | Windstärke
Sturmmaske | Sturmhaube
Glatteis | Blitzeis
Wochentag | Donnerstag
Dunst | Nebelschwaden
Funken | Feuerstein
Kugel | Erdkugel
Hitze | Hitzewelle
Kälte | Kältewelle
Frost | Frostbeule
Pfütze | Pfützenspringen
Matsch | Matschhose
Schlamm | Schlammschlacht
Gewitter | Gewitterwolke
Tornado | Wirbelsturm
Lawine | Lawinengefahr
Ebbe | Ebbe und Flut
Hügel | Hügelland
Klippe | Steilküste
Wasserfall | Niagarafälle
Dschungel | Dschungelbuch
Sumpf | Sumpfgebiet
Wiese | Blumenwiese
Heide | Lüneburger Heide
Feld | Kornfeld
Moor | Moorleiche
Laub | Laubbläser
Tannenbaum | Tannennadel
Schatten | Schattenspiel
Morgen | Morgenrot
Nacht | Nachthimmel

## Zuhause & Haushalt
Hauswart | Hausmeister
Namensschild | Türschild
Glasreiniger | Fensterputzer
Regenrinne | Dachrinne
Federbett | Bettdecke
Tischtuch | Tischdecke
Sitzkreis | Stuhlkreis
Leselicht | Nachttischlampe
Uhr | Uhrzeiger
Gummiente | Badeente
Lappen | Topflappen
Wender | Pfannenwender
Unterteller | Untertasse
Scherbe | Glasscherben
Abstellkammer | Besenkammer
Recycling | Mülltrennung
Guckloch | Schlüsselloch
Geländer | Treppengeländer
Wasserspritze | Gartenschlauch
Federn | Kissenschlacht
Anbauwand | Schrankwand
Klammer | Wäscheklammer
Nadelöhr | Nähnadel
Maniküre | Nagelschere
Schlag | Hammerschlag
Tritt | Trittleiter
Balkon | Balkonpflanze
Flur | Flurfunk
Küche | Einbauküche
Zimmer | Kinderzimmer
Wohnung | Wohngemeinschaft
Möbel | Möbelhaus
Kommode | Wickelkommode
Stecker | Steckdose
Sicherung | Sicherungskasten
Klingel | Klingelstreich
Briefkasten | Briefkastenschlitz
Fußmatte | Schuhe abtreten
Rollo | Rollladen
Tapete | Tapetenwechsel
Spüle | Spülmaschine
Mikrowelle | Mikrowellenpopcorn
Toaster | Toastbrotscheibe
Wasserkocher | Teewasser
Bügelbrett | Bügelwäsche
Staubtuch | Staubwischen
Putzlappen | Frühjahrsputz
Mopp | Wischmopp
Wecker | Schlummertaste
Fernbedienung | Couchpotato

## Körper & Gesundheit
Fantasie | Kopfkino
Frisur | Haarschnitt
Zwinkern | Augenzwinkern
Ohrloch | Ohrring
Verstopft | Nasenspray
Mund | Mundwinkel
Lücke | Zahnlücke
Knutschen | Zungenkuss
Kopfüber | Handstand
Spurensicherung | Fingerabdruck
Arm | Armdrücken
Schritttechnik | Beinarbeit
Fuß | Fußsohle
Hocke | Kniebeuge
Krämpfe | Bauchschmerzen
Hexenschuss | Rückenschmerzen
Herzstillstand | Herzinfarkt
Messgerät | Blutdruck
Spender | Knochenmark
Pickel | Hautausschlag
Nabel | Nabelschnur
Ellbogen | Ellbogengesellschaft
Schulter | Schulterklopfen
Wimper | Wimperntusche
Stirn | Stirnrunzeln
Wange | Wangenkuss
Kinn | Kinnhaken
Lippe | Lippenstift
Faust | Faustregel
Zeh | Zehenspitze
Ferse | Achillesferse
Lunge | Lungenflügel
Magen | Magenknurren
Gehirn | Gehirnerschütterung
Nerv | Nervensäge
Spritze | Impfung
Gips | Gipsbein
Krücke | Krückstock
Salbe | Wundsalbe
Doktor | Doktorspiele
Kranken | Krankenhaus
Notarzt | Rettungswagen
Kurzsichtig | Lesebrille
Ohnmacht | Kreislaufkollaps
Pollen | Heuschnupfen
Bauchweh | Wärmflasche
Sport | Sportverletzung
Massage | Massageliege

## Berufe & Menschen
Kochhaube | Kochmütze
Meister | Bäckermeister
Pult | Lehrerpult
Spürnase | Polizeihund
Fluglizenz | Pilotenschein
Wetterspruch | Bauernregel
Anstreicher | Malerleiter
Haareschneiden | Friseurschere
Hasentrick | Zauberhut
Untertanen | Königreich
Ehrung | Ritterschlag
Totenkopf | Piratenflagge
Brodeln | Hexenkessel
Räuber | Räuber Hotzenplotz
Urteil | Richterhammer
Füttern | Babybrei
Wolldecke | Omas Häkeldecke
Schieben | Kinderwagen
Knüpfen | Freundschaftsband
Rettungstat | Heldentat
Bauarbeiter | Baustelle
Elektriker | Stromkabel
Klempner | Rohrbruch
Gärtner | Gärtnerei
Tischler | Werkbank
Metzger | Metzgerei
Kassierer | Supermarktkasse
Verkäufer | Verkaufsgespräch
Anwalt | Anwaltskanzlei
Journalist | Pressekonferenz
Fotograf | Blitzlicht
Schauspieler | Schauspielschule
Regisseur | Filmset
Architekt | Bauplan
Ingenieur | Ingenieurskunst
Programmierer | Programmcode
Wissenschaftler | Labor
Erfinder | Erfindung
Soldat | Soldatenhelm
Matrose | Matrosenanzug
Hebamme | Geburt
Pfarrer | Pfarrhaus
Bürgermeister | Rathausschlüssel
Politiker | Wahlkampf
Rentner | Rente
Tourist | Touristenfalle
Gardine | Gardinenpredigt
Schwester | Krankenschwester
Bruder | Brüderchen und Schwesterchen
Onkel | Onkel Dagobert
Tante | Tante Emma
Zwilling | Zwillingsbruder
Hausmeister | Hausmeisterservice

## Sport & Freizeit
Ball | Ballspiel
Jubel | Torjubel
Lauf | Staffellauf
Schanze | Skispringen
Ping-Pong | Tischtennis
Einlochen | Minigolf
Sandsack | Boxsack
Ziehen | Tauziehen
Karomuster | Schachbrett
Playstation | Spielkonsole
Hering | Zeltplatz
Köder | Angelrute
Finale | Pokalfinale
Zweiter | Silbermedaille
Spielbeginn | Anpfiff
Sprunglatte | Hochsprung
Galopp | Pferderennen
Board | Surfbrett
Tauchschein | Tauchkurs
